timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603411739707,188,Acces Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,2249,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,188,0,0
1603411740554,351,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,25308,647,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,275,0,0
1603411742939,183,Remove product from cart,200,OK,Logged User Choose product 1-1,text,true,,376,694,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/remove,183,0,0
1603411744275,157,Access Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,712,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,157,0,0
1603411745865,330,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23772,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,248,0,0
1603411747276,429,Logout ,200,OK,Logged User Choose product 1-1,text,true,,19053,1281,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/logout,134,0,0
1603411747276,134,Logout -0,302,Found,Logged User Choose product 1-1,text,true,,378,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,134,0,0
1603411747411,294,Logout -1,200,OK,Logged User Choose product 1-1,text,true,,18675,631,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/logout,215,0,0
1603411749637,297,Continue logout,200,OK,Logged User Choose product 1-1,text,true,,18696,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,215,0,0
1603411751413,239,Enter credentials,200,OK,Checkout 2-1,text,true,,290,834,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/payment_address/save,239,0,83
1603411752968,375,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,295,0,0
1603411753048,298,Shipping Address,200,OK,Checkout 2-1,text,true,,31104,557,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fshipping_address&product=no_match,218,0,0
1603411754122,356,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23643,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,287,0,69
1603411755939,279,Access Login,200,OK,Logged User Choose product 1-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,209,0,0
1603411756698,176,Shipping Method,200,OK,Checkout 2-1,text,true,,899,556,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fshipping_method&product=no_match,176,0,0
1603411758698,158,Shipping method save,200,OK,Checkout 2-1,text,true,,289,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/shipping_method/save,158,0,0
1603411759885,193,Payment Method,200,OK,Checkout 2-1,text,true,,1115,555,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fpayment_method&product=no_match,193,0,0
1603411760696,150,Payment method save ,200,OK,Checkout 2-1,text,true,,289,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/payment_method/save,150,0,0
1603411760559,287,Enter credentials,200,OK,Logged User Choose product 1-1,text,false,My Account,20018,1111,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,218,0,0
1603411761621,195,Checkout confirm,200,OK,Checkout 2-1,text,true,,2556,548,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fconfirm&product=no_match,195,0,0
1603411761716,395,Succesful login,200,OK,Logged User Choose product 1-1,text,false,Test failed: text expected to contain /Logout/,20364,1355,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,118,0,0
1603411761716,118,Succesful login-0,302,Found,Logged User Choose product 1-1,text,true,,377,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,118,0,0
1603411761834,277,Succesful login-1,200,OK,Logged User Choose product 1-1,text,true,,19987,656,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,209,0,0
1603411762477,286,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,217,0,0
1603411763188,346,Confirm,200,OK,Checkout 2-1,text,true,,379,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=extension%2Fpayment%2Fcod%2Fconfirm&product=no_match,346,0,0
1603411764413,326,Checkout Success,200,OK,Checkout 2-1,text,true,,18015,657,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fsuccess&product=no_match,248,0,0
1603411765336,425,Access product category,200,OK,Logged User Choose product 1-1,text,true,,43465,661,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=34_37&product=no_match,285,0,0
1603411765952,424,Access HomePage,200,OK,Checkout 2-1,text,true,,23773,664,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,335,0,92
1603411767409,452,Access Login,200,OK,Checkout 2-1,text,false,E-mail address,20717,1295,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,138,0,0
1603411767409,138,Access Login-0,302,Found,Checkout 2-1,text,true,,379,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,138,0,0
1603411767547,314,Access Login-1,200,OK,Checkout 2-1,text,true,,20338,630,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,225,0,0
1603411770670,429,Access product,200,OK,Logged User Choose product 1-1,text,true,,29200,691,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fproduct&path=34_37&product_id=355&product=no_match,359,0,69
1603411772661,165,Enter credentials,302,Found,Checkout 2-1,text,false,Response was null,379,1146,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,165,0,0
1603411772661,165,Enter credentials-0,302,Found,Checkout 2-1,text,true,,379,1146,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,165,0,0
1603411773679,239,Adding to Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,594,734,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/add,239,0,0
1603411773693,468,Succesful login,200,OK,Checkout 2-1,text,true,,20359,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,378,0,0
1603411774699,207,Acces Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,2245,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,207,0,0
1603411774707,379,Access HomePage,200,OK,Checkout 2-1,text,true,,23772,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,289,0,0
1603411776303,303,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,24946,647,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,231,0,0
1603411777617,453,Access product category,200,OK,Checkout 2-1,text,true,,42528,676,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=57&amp;product_id=49&product=no_match,275,0,0
1603411778635,148,Remove product from cart,200,OK,Logged User Choose product 1-1,text,true,,376,694,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/remove,148,0,0
1603411779959,137,Access Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,712,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,137,0,0
1603411781221,291,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,220,0,0
1603411782897,14,Access product,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 172.23.176.132:80 failed to respond,Checkout 2-1,text,false,Assertions failed,2094,0,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fproduct&path=57&amp;product_id=49&product_id=91&product=no_match,0,0,0
1603411782967,273,Logout ,200,OK,Logged User Choose product 1-1,text,true,,18696,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,205,0,0
1603411784979,273,Continue logout,200,OK,Logged User Choose product 1-1,text,true,,18696,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,204,0,0
1603411785295,234,Adding to Shopping Cart,200,OK,Checkout 2-1,text,true,,603,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/add,233,0,71
1603411786126,174,Acces Shopping Cart,200,OK,Checkout 2-1,text,true,,2279,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,174,0,0
1603411786714,429,Checkout,200,OK,Checkout 2-1,text,true,,53463,654,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fcheckout&product=no_match,284,0,0
1603411788006,257,Checkout Payment Address,200,OK,Checkout 2-1,text,true,,30572,556,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fpayment_address&product=no_match,182,0,0
1603411788052,314,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,245,0,0
1603411788775,419,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23643,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,329,0,92
1603411790007,142,Checkout country,200,OK,Checkout 2-1,text,true,,9678,598,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fcheckout%2Fcountry&country_id=222&product=no_match,127,0,0
1603411790438,313,Access Login,200,OK,Logged User Choose product 1-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,224,0,0
1603411794925,321,Enter credentials,200,OK,Logged User Choose product 1-1,text,false,My Account,20018,1096,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,231,0,0
1603411796199,484,Succesful login,200,OK,Logged User Choose product 1-1,text,false,Test failed: text expected to contain /Logout/,20364,1355,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,165,0,0
1603411796199,165,Succesful login-0,302,Found,Logged User Choose product 1-1,text,true,,377,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,165,0,0
1603411796364,319,Succesful login-1,200,OK,Logged User Choose product 1-1,text,true,,19987,656,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,232,0,0
1603411797160,329,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,239,0,0
1603411799532,452,Access product category,200,OK,Logged User Choose product 1-1,text,true,,42170,676,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=57&amp;product_id=49&product=no_match,275,0,0
